Precipitation,Date.Full,Date.Month,Date.Week of,Date.Year,StationCity,Station.Code,Station.Location,StationState,TempAvg,Data.Temperature.Max Temp,Data.Temperature.Min Temp,Data.Wind.Direction,WindSpeed,Population,lat,lon
0.0,2016-01-03,1,3,2016,Birmingham,BHM,"Birmingham, AL",Alabama,39,46,32,33,4.33,212113,33.5206608,-86.80249
0.52,2016-01-10,1,10,2016,Birmingham,BHM,"Birmingham, AL",Alabama,44,52,36,12,6.55,212113,33.5206608,-86.80249
0.34,2016-01-17,1,17,2016,Birmingham,BHM,"Birmingham, AL",Alabama,42,52,31,28,3.94,212113,33.5206608,-86.80249
1.55,2016-01-24,1,24,2016,Birmingham,BHM,"Birmingham, AL",Alabama,36,45,27,21,6.01,212113,33.5206608,-86.80249
0.87,2016-01-31,1,31,2016,Birmingham,BHM,"Birmingham, AL",Alabama,49,60,37,26,5.6,212113,33.5206608,-86.80249
3.05,2016-02-07,2,7,2016,Birmingham,BHM,"Birmingham, AL",Alabama,51,61,40,23,6.35,212113,33.5206608,-86.80249
0.0,2016-02-14,2,14,2016,Birmingham,BHM,"Birmingham, AL",Alabama,41,51,30,25,7.37,212113,33.5206608,-86.80249
1.24,2016-02-21,2,21,2016,Birmingham,BHM,"Birmingham, AL",Alabama,55,63,46,20,7.21,212113,33.5206608,-86.80249
3.17,2016-02-28,2,28,2016,Birmingham,BHM,"Birmingham, AL",Alabama,52,61,42,24,7.71,212113,33.5206608,-86.80249
1.86,2016-03-06,3,6,2016,Birmingham,BHM,"Birmingham, AL",Alabama,49,60,38,22,4.61,212113,33.5206608,-86.80249
1.26,2016-03-13,3,13,2016,Birmingham,BHM,"Birmingham, AL",Alabama,68,76,59,17,6.91,212113,33.5206608,-86.80249
0.03,2016-03-20,3,20,2016,Birmingham,BHM,"Birmingham, AL",Alabama,61,73,49,26,6.58,212113,33.5206608,-86.80249
1.65,2016-03-27,3,27,2016,Birmingham,BHM,"Birmingham, AL",Alabama,57,67,47,21,6.35,212113,33.5206608,-86.80249
0.28,2016-04-03,4,3,2016,Birmingham,BHM,"Birmingham, AL",Alabama,58,68,48,32,6.03,212113,33.5206608,-86.80249
0.37,2016-04-10,4,10,2016,Birmingham,BHM,"Birmingham, AL",Alabama,60,72,46,21,6.95,212113,33.5206608,-86.80249
1.94,2016-04-17,4,17,2016,Birmingham,BHM,"Birmingham, AL",Alabama,61,70,53,13,6.32,212113,33.5206608,-86.80249
0.28,2016-04-24,4,24,2016,Birmingham,BHM,"Birmingham, AL",Alabama,66,79,53,22,3.17,212113,33.5206608,-86.80249
0.22,2016-05-01,5,1,2016,Birmingham,BHM,"Birmingham, AL",Alabama,70,76,63,19,2.0,212113,33.5206608,-86.80249
0.67,2016-05-08,5,8,2016,Birmingham,BHM,"Birmingham, AL",Alabama,65,76,52,28,5.72,212113,33.5206608,-86.80249
0.35,2016-05-15,5,15,2016,Birmingham,BHM,"Birmingham, AL",Alabama,70,80,60,20,6.21,212113,33.5206608,-86.80249
0.14,2016-05-22,5,22,2016,Birmingham,BHM,"Birmingham, AL",Alabama,70,79,60,24,5.0,212113,33.5206608,-86.80249
0.01,2016-05-29,5,29,2016,Birmingham,BHM,"Birmingham, AL",Alabama,76,87,64,17,3.71,212113,33.5206608,-86.80249
0.44,2016-06-05,6,5,2016,Birmingham,BHM,"Birmingham, AL",Alabama,80,89,70,16,2.78,212113,33.5206608,-86.80249
0.01,2016-06-12,6,12,2016,Birmingham,BHM,"Birmingham, AL",Alabama,79,91,66,18,2.77,212113,33.5206608,-86.80249
2.17,2016-06-19,6,19,2016,Birmingham,BHM,"Birmingham, AL",Alabama,80,89,70,21,4.68,212113,33.5206608,-86.80249
0.03,2016-06-26,6,26,2016,Birmingham,BHM,"Birmingham, AL",Alabama,83,94,73,22,4.01,212113,33.5206608,-86.80249
0.0,2016-07-03,7,3,2016,Birmingham,BHM,"Birmingham, AL",Alabama,84,97,70,27,3.5,212113,33.5206608,-86.80249
2.61,2016-07-10,7,10,2016,Birmingham,BHM,"Birmingham, AL",Alabama,86,95,77,25,8.28,212113,33.5206608,-86.80249
2.64,2016-07-17,7,17,2016,Birmingham,BHM,"Birmingham, AL",Alabama,81,91,71,19,2.22,212113,33.5206608,-86.80249
0.49,2016-07-24,7,24,2016,Birmingham,BHM,"Birmingham, AL",Alabama,84,93,75,15,0.91,212113,33.5206608,-86.80249
1.34,2016-07-31,7,31,2016,Birmingham,BHM,"Birmingham, AL",Alabama,83,91,74,24,4.4,212113,33.5206608,-86.80249
0.49,2016-08-07,8,7,2016,Birmingham,BHM,"Birmingham, AL",Alabama,85,94,75,28,2.02,212113,33.5206608,-86.80249
0.49,2016-08-14,8,14,2016,Birmingham,BHM,"Birmingham, AL",Alabama,82,88,75,12,5.87,212113,33.5206608,-86.80249
1.38,2016-08-21,8,21,2016,Birmingham,BHM,"Birmingham, AL",Alabama,82,90,73,17,3.25,212113,33.5206608,-86.80249
0.16,2016-08-28,8,28,2016,Birmingham,BHM,"Birmingham, AL",Alabama,83,92,74,11,2.12,212113,33.5206608,-86.80249
0.28,2016-09-04,9,4,2016,Birmingham,BHM,"Birmingham, AL",Alabama,81,91,72,14,4.35,212113,33.5206608,-86.80249
0.01,2016-09-11,9,11,2016,Birmingham,BHM,"Birmingham, AL",Alabama,81,93,69,21,2.51,212113,33.5206608,-86.80249
0.39,2016-09-18,9,18,2016,Birmingham,BHM,"Birmingham, AL",Alabama,82,91,72,11,3.45,212113,33.5206608,-86.80249
0.0,2016-09-25,9,25,2016,Birmingham,BHM,"Birmingham, AL",Alabama,82,95,70,10,2.11,212113,33.5206608,-86.80249
0.0,2016-10-02,10,2,2016,Birmingham,BHM,"Birmingham, AL",Alabama,69,83,56,33,2.25,212113,33.5206608,-86.80249
0.0,2016-10-09,10,9,2016,Birmingham,BHM,"Birmingham, AL",Alabama,74,87,60,10,6.9,212113,33.5206608,-86.80249
0.0,2016-10-16,10,16,2016,Birmingham,BHM,"Birmingham, AL",Alabama,70,82,57,10,2.6,212113,33.5206608,-86.80249
0.0,2016-10-23,10,23,2016,Birmingham,BHM,"Birmingham, AL",Alabama,70,82,56,24,5.17,212113,33.5206608,-86.80249
0.0,2016-10-30,10,30,2016,Birmingham,BHM,"Birmingham, AL",Alabama,70,84,56,19,2.41,212113,33.5206608,-86.80249
0.0,2016-11-06,11,6,2016,Birmingham,BHM,"Birmingham, AL",Alabama,68,81,55,11,3.1,212113,33.5206608,-86.80249
0.0,2016-11-13,11,13,2016,Birmingham,BHM,"Birmingham, AL",Alabama,58,71,45,18,3.51,212113,33.5206608,-86.80249
0.01,2016-11-20,11,20,2016,Birmingham,BHM,"Birmingham, AL",Alabama,56,70,41,26,3.7,212113,33.5206608,-86.80249
0.0,2016-11-27,11,27,2016,Birmingham,BHM,"Birmingham, AL",Alabama,51,65,36,24,3.55,212113,33.5206608,-86.80249
0.47,2016-12-04,12,4,2016,Birmingham,BHM,"Birmingham, AL",Alabama,47,56,38,19,3.75,212113,33.5206608,-86.80249
0.93,2016-12-11,12,11,2016,Birmingham,BHM,"Birmingham, AL",Alabama,44,52,35,22,5.75,212113,33.5206608,-86.80249
0.48,2016-12-18,12,18,2016,Birmingham,BHM,"Birmingham, AL",Alabama,50,60,39,17,6.47,212113,33.5206608,-86.80249
0.0,2016-12-25,12,25,2016,Birmingham,BHM,"Birmingham, AL",Alabama,50,60,40,18,4.77,212113,33.5206608,-86.80249
0.51,2017-01-01,1,1,2017,Birmingham,BHM,"Birmingham, AL",Alabama,54,64,45,22,6.28,212113,33.5206608,-86.80249
0.0,2016-01-03,1,3,2016,Huntsville,HSV,"Huntsville, AL",Alabama,39,47,31,32,3.86,186254,34.730368799999994,-86.5861037
0.43,2016-01-10,1,10,2016,Huntsville,HSV,"Huntsville, AL",Alabama,43,50,34,13,8.34,186254,34.730368799999994,-86.5861037
0.16,2016-01-17,1,17,2016,Huntsville,HSV,"Huntsville, AL",Alabama,39,49,29,22,4.57,186254,34.730368799999994,-86.5861037
2.38,2016-01-24,1,24,2016,Huntsville,HSV,"Huntsville, AL",Alabama,33,40,25,19,6.44,186254,34.730368799999994,-86.5861037
